,date,close,daily change,daily change pct,high to date,off from high
442,1929-10-04,28.65,-0.3,-1.036,31.860001,-10.075
443,1929-10-07,30.440001,1.79,6.248,31.860001,-4.457
444,1929-10-08,30.34,-0.1,-0.329,31.860001,-4.771
445,1929-10-09,30.27,-0.07,-0.231,31.860001,-4.991
446,1929-10-10,30.809999,0.54,1.784,31.860001,-3.296
447,1929-10-11,30.76,-0.05,-0.162,31.860001,-3.453
448,1929-10-14,30.549999,-0.21,-0.683,31.860001,-4.112
449,1929-10-15,30.299999,-0.25,-0.818,31.860001,-4.896
450,1929-10-16,29.24,-1.06,-3.498,31.860001,-8.223
451,1929-10-17,29.690001,0.45,1.539,31.860001,-6.811
452,1929-10-18,28.84,-0.85,-2.863,31.860001,-9.479
453,1929-10-21,27.73,-1.11,-3.849,31.860001,-12.963
454,1929-10-22,28.27,0.54,1.947,31.860001,-11.268
455,1929-10-23,26.6,-1.67,-5.907,31.860001,-16.51
456,1929-10-24,25.75,-0.85,-3.195,31.860001,-19.178
457,1929-10-25,26.120001,0.37,1.437,31.860001,-18.016
458,1929-10-28,22.74,-3.38,-12.94,31.860001,-28.625
459,1929-10-29,20.43,-2.31,-10.158,31.860001,-35.876
460,1929-10-30,22.99,2.56,12.531,31.860001,-27.841
461,1929-10-31,24.15,1.16,5.046,31.860001,-24.2
462,1929-11-04,22.879999,-1.27,-5.259,31.860001,-28.186
463,1929-11-06,20.610001,-2.27,-9.921,31.860001,-35.311
464,1929-11-07,21.370001,0.76,3.688,31.860001,-32.925
465,1929-11-08,21.18,-0.19,-0.889,31.860001,-33.522
466,1929-11-11,19.860001,-1.32,-6.232,31.860001,-37.665
467,1929-11-12,18.73,-1.13,-5.69,31.860001,-41.212
468,1929-11-13,17.66,-1.07,-5.713,31.860001,-44.57
469,1929-11-14,19.24,1.58,8.947,31.860001,-39.611
470,1929-11-15,20.299999,1.06,5.509,31.860001,-36.284
471,1929-11-18,20.09,-0.21,-1.034,31.860001,-36.943
472,1929-11-19,20.700001,0.61,3.036,31.860001,-35.028
473,1929-11-20,21.27,0.57,2.754,31.860001,-33.239
474,1929-11-21,21.610001,0.34,1.599,31.860001,-32.172
475,1929-11-22,21.530001,-0.08,-0.37,31.860001,-32.423
476,1929-11-25,21.280001,-0.25,-1.161,31.860001,-33.208
477,1929-11-26,20.66,-0.62,-2.914,31.860001,-35.154
478,1929-11-27,20.92,0.26,1.258,31.860001,-34.338
479,1929-12-02,20.950001,0.03,0.143,31.860001,-34.244
480,1929-12-03,21.65,0.7,3.341,31.860001,-32.046
481,1929-12-04,22.049999,0.4,1.848,31.860001,-30.791
482,1929-12-05,21.870001,-0.18,-0.816,31.860001,-31.356
483,1929-12-06,22.450001,0.58,2.652,31.860001,-29.535
484,1929-12-09,22.4,-0.05,-0.223,31.860001,-29.692
485,1929-12-10,22.57,0.17,0.759,31.860001,-29.159
486,1929-12-11,22.379999,-0.19,-0.842,31.860001,-29.755
487,1929-12-12,21.17,-1.21,-5.407,31.860001,-33.553
488,1929-12-13,21.700001,0.53,2.504,31.860001,-31.89
489,1929-12-16,21.33,-0.37,-1.705,31.860001,-33.051
490,1929-12-17,21.559999,0.23,1.078,31.860001,-32.329
491,1929-12-18,21.42,-0.14,-0.649,31.860001,-32.768
492,1929-12-19,20.85,-0.57,-2.661,31.860001,-34.557
493,1929-12-20,20.16,-0.69,-3.309,31.860001,-36.723
494,1929-12-23,20.26,0.1,0.496,31.860001,-36.409
495,1929-12-24,20.389999,0.13,0.642,31.860001,-36.001
496,1929-12-26,20.84,0.45,2.207,31.860001,-34.589
497,1929-12-27,20.82,-0.02,-0.096,31.860001,-34.652
498,1929-12-30,20.889999,0.07,0.336,31.860001,-34.432
499,1929-12-31,21.450001,0.56,2.681,31.860001,-32.674
500,1930-01-02,21.18,-0.27,-1.259,31.860001,-33.522
501,1930-01-03,21.23,0.05,0.236,31.860001,-33.365
502,1930-01-06,21.5,0.27,1.272,31.860001,-32.517
503,1930-01-07,21.309999,-0.19,-0.884,31.860001,-33.114
504,1930-01-08,21.290001,-0.02,-0.094,31.860001,-33.176
505,1930-01-09,21.620001,0.33,1.55,31.860001,-32.141
506,1930-01-10,21.549999,-0.07,-0.324,31.860001,-32.36
507,1930-01-13,21.52,-0.03,-0.139,31.860001,-32.454
508,1930-01-14,21.559999,0.04,0.186,31.860001,-32.329
509,1930-01-15,21.65,0.09,0.417,31.860001,-32.046
510,1930-01-16,21.5,-0.15,-0.693,31.860001,-32.517
511,1930-01-17,21.309999,-0.19,-0.884,31.860001,-33.114
512,1930-01-20,21.5,0.19,0.892,31.860001,-32.517
513,1930-01-21,21.610001,0.11,0.512,31.860001,-32.172
514,1930-01-22,21.629999,0.02,0.093,31.860001,-32.109
515,1930-01-23,21.84,0.21,0.971,31.860001,-31.45
516,1930-01-24,22.040001,0.2,0.916,31.860001,-30.822
517,1930-01-27,22.209999,0.17,0.771,31.860001,-30.289
518,1930-01-28,22.1,-0.11,-0.495,31.860001,-30.634
519,1930-01-29,22.35,0.25,1.131,31.860001,-29.849
520,1930-01-30,22.469999,0.12,0.537,31.860001,-29.473
521,1930-01-31,22.790001,0.32,1.424,31.860001,-28.468
522,1930-02-03,22.74,-0.05,-0.219,31.860001,-28.625
523,1930-02-04,23.01,0.27,1.187,31.860001,-27.778
524,1930-02-05,23.309999,0.3,1.304,31.860001,-26.836
525,1930-02-06,23.059999,-0.25,-1.073,31.860001,-27.621
526,1930-02-07,22.969999,-0.09,-0.39,31.860001,-27.903
527,1930-02-10,23.120001,0.15,0.653,31.860001,-27.433
528,1930-02-11,23.32,0.2,0.865,31.860001,-26.805
529,1930-02-13,23.360001,0.04,0.172,31.860001,-26.679
530,1930-02-14,23.35,-0.01,-0.043,31.860001,-26.711
531,1930-02-17,23.26,-0.09,-0.385,31.860001,-26.993
532,1930-02-18,23.280001,0.02,0.086,31.860001,-26.93
533,1930-02-19,23.07,-0.21,-0.902,31.860001,-27.589
534,1930-02-20,22.639999,-0.43,-1.864,31.860001,-28.939
535,1930-02-21,22.92,0.28,1.237,31.860001,-28.06
536,1930-02-24,22.68,-0.24,-1.047,31.860001,-28.814
537,1930-02-25,22.889999,0.21,0.926,31.860001,-28.154
538,1930-02-26,23.110001,0.22,0.961,31.860001,-27.464
539,1930-02-27,23.08,-0.03,-0.13,31.860001,-27.558
540,1930-02-28,23.280001,0.2,0.867,31.860001,-26.93
541,1930-03-03,23.360001,0.08,0.344,31.860001,-26.679
542,1930-03-04,23.540001,0.18,0.771,31.860001,-26.114
543,1930-03-05,23.360001,-0.18,-0.765,31.860001,-26.679
544,1930-03-06,23.59,0.23,0.985,31.860001,-25.957
545,1930-03-07,23.59,0.0,0.0,31.860001,-25.957
546,1930-03-10,23.67,0.08,0.339,31.860001,-25.706
547,1930-03-11,23.719999,0.05,0.211,31.860001,-25.549
548,1930-03-12,23.459999,-0.26,-1.096,31.860001,-26.365
549,1930-03-13,23.6,0.14,0.597,31.860001,-25.926
550,1930-03-14,23.450001,-0.15,-0.636,31.860001,-26.397
551,1930-03-17,23.67,0.22,0.938,31.860001,-25.706
552,1930-03-18,23.9,0.23,0.972,31.860001,-24.984
553,1930-03-19,24.030001,0.13,0.544,31.860001,-24.576
554,1930-03-20,24.139999,0.11,0.458,31.860001,-24.231
555,1930-03-21,24.290001,0.15,0.621,31.860001,-23.76
556,1930-03-24,24.280001,-0.01,-0.041,31.860001,-23.792
557,1930-03-25,24.25,-0.03,-0.124,31.860001,-23.886
558,1930-03-26,24.620001,0.37,1.526,31.860001,-22.724
559,1930-03-27,24.57,-0.05,-0.203,31.860001,-22.881
560,1930-03-28,24.85,0.28,1.14,31.860001,-22.003
561,1930-03-31,24.15,-0.7,-2.817,31.860001,-24.2
