date,close,daily change,daily change pct,high to date,off from high,buy,shares bought,shares owned,cash spend,cash balance,market value,current gain
1978-11-24,95.79,0.31,0.32,120.24,-20.33,True,1,12744,-95.79,-578554.16,1220747.76,642193.6
1978-11-27,95.99,0.2,0.21,120.24,-20.17,True,1,12745,-95.99,-578650.15,1223392.55,644742.4
1978-11-28,95.15,-0.84,-0.88,120.24,-20.87,True,1,12746,-95.15,-578745.3,1212781.9,634036.6
1978-11-29,93.75,-1.4,-1.47,120.24,-22.03,True,1,12747,-93.75,-578839.05,1195031.25,616192.2
1978-11-30,94.7,0.95,1.01,120.24,-21.24,True,1,12748,-94.7,-578933.75,1207235.6,628301.85
1978-12-01,96.28,1.58,1.67,120.24,-19.93,True,1,12749,-96.28,-579030.03,1227473.72,648443.69
1978-12-04,96.15,-0.13,-0.14,120.24,-20.04,True,1,12750,-96.15,-579126.18,1225912.5,646786.32
1978-12-05,97.44,1.29,1.34,120.24,-18.96,True,1,12751,-97.44,-579223.62,1242457.44,663233.82
1978-12-06,97.49,0.05,0.05,120.24,-18.92,True,1,12752,-97.49,-579321.11,1243192.48,663871.37
1978-12-07,97.08,-0.41,-0.42,120.24,-19.26,True,1,12753,-97.08,-579418.19,1238061.24,658643.05
1978-12-08,96.63,-0.45,-0.46,120.24,-19.64,True,1,12754,-96.63,-579514.82,1232419.02,652904.2
1978-12-11,97.11,0.48,0.5,120.24,-19.24,True,1,12755,-97.11,-579611.93,1238638.05,659026.12
1978-12-12,96.59,-0.52,-0.54,120.24,-19.67,True,1,12756,-96.59,-579708.52,1232102.04,652393.52
1978-12-13,96.06,-0.53,-0.55,120.24,-20.11,True,1,12757,-96.06,-579804.58,1225437.42,645632.84
1978-12-14,96.04,-0.02,-0.02,120.24,-20.13,True,1,12758,-96.04,-579900.62,1225278.32,645377.7
1978-12-15,95.33,-0.71,-0.74,120.24,-20.72,True,1,12759,-95.33,-579995.95,1216315.47,636319.52
1978-12-18,93.44,-1.89,-1.98,120.24,-22.29,True,1,12760,-93.44,-580089.39,1192294.4,612205.01
1978-12-19,94.24,0.8,0.86,120.24,-21.62,True,1,12761,-94.24,-580183.63,1202596.64,622413.01
1978-12-20,94.68,0.44,0.47,120.24,-21.26,True,1,12762,-94.68,-580278.31,1208306.16,628027.85
1978-12-21,94.71,0.03,0.03,120.24,-21.23,True,1,12763,-94.71,-580373.02,1208783.73,628410.71
1978-12-22,96.31,1.6,1.69,120.24,-19.9,True,1,12764,-96.31,-580469.33,1229300.84,648831.51
1978-12-26,97.52,1.21,1.26,120.24,-18.9,True,1,12765,-97.52,-580566.85,1244842.8,664275.95
1978-12-27,96.66,-0.86,-0.88,120.24,-19.61,True,1,12766,-96.66,-580663.51,1233961.56,653298.05
