,high date,high close,next high date,next high close,date diff,close diff,close diff (%)
17871,1999-03-10,1286.839966,1999-03-11,1297.680054,1.0,10.84,0.842
17872,1999-03-11,1297.680054,1999-03-15,1307.26001,4.0,9.58,0.738
17874,1999-03-15,1307.26001,1999-03-18,1316.550049,3.0,9.29,0.711
17877,1999-03-18,1316.550049,1999-04-05,1321.119995,18.0,4.57,0.347
17888,1999-04-05,1321.119995,1999-04-07,1326.890015,2.0,5.77,0.437
17890,1999-04-07,1326.890015,1999-04-08,1343.97998,1.0,17.09,1.288
17891,1999-04-08,1343.97998,1999-04-09,1348.349976,1.0,4.37,0.325
17892,1999-04-09,1348.349976,1999-04-12,1358.630005,3.0,10.28,0.762
17893,1999-04-12,1358.630005,1999-04-22,1358.819946,10.0,0.19,0.014
17901,1999-04-22,1358.819946,1999-04-26,1360.040039,4.0,1.22,0.09
17903,1999-04-26,1360.040039,1999-04-27,1362.800049,1.0,2.76,0.203
17904,1999-04-27,1362.800049,1999-05-12,1364.0,15.0,1.2,0.088
17915,1999-05-12,1364.0,1999-05-13,1367.560059,1.0,3.56,0.261
17916,1999-05-13,1367.560059,1999-06-30,1372.709961,48.0,5.15,0.377
17949,1999-06-30,1372.709961,1999-07-01,1380.959961,1.0,8.25,0.601
17950,1999-07-01,1380.959961,1999-07-02,1391.219971,1.0,10.26,0.743
17951,1999-07-02,1391.219971,1999-07-07,1395.859985,5.0,4.64,0.334
17953,1999-07-07,1395.859985,1999-07-09,1403.280029,2.0,7.42,0.532
17955,1999-07-09,1403.280029,1999-07-15,1409.619995,6.0,6.34,0.452
17959,1999-07-15,1409.619995,1999-07-16,1418.780029,1.0,9.16,0.65
17960,1999-07-16,1418.780029,1999-11-16,1420.069946,123.0,1.29,0.091
18046,1999-11-16,1420.069946,1999-11-18,1424.939941,2.0,4.87,0.343
18048,1999-11-18,1424.939941,1999-12-03,1433.300049,15.0,8.36,0.587
18058,1999-12-03,1433.300049,1999-12-21,1433.430054,18.0,0.13,0.009
18070,1999-12-21,1433.430054,1999-12-22,1436.130005,1.0,2.7,0.188
