high date,high close,next high date,next high close,date diff,close diff,close diff (%),last high,remaining highs,min days no high
1959-08-03,60.709999,1961-01-27,61.240002,543.0,0.53,0.873,1,22,150
1961-04-17,68.68,1961-11-01,68.730003,198.0,0.05,0.073,1,16,150
1961-12-12,72.639999,1963-09-03,72.660004,630.0,0.02,0.027999999999999997,1,122,150
1966-02-09,94.059998,1967-05-04,94.32,449.0,0.26,0.276,1,13,150
1967-09-25,97.589996,1968-04-29,97.970001,217.0,0.38,0.389,1,33,150
1968-11-29,108.370003,1972-03-06,108.769997,1193.0,0.4,0.369,1,34,150
1973-01-11,120.239998,1980-07-17,121.440002,2744.0,1.2,0.998,1,23,150
1980-11-28,140.520004,1982-11-03,142.869995,705.0,2.35,1.672,1,31,150
1983-10-10,172.649994,1985-01-21,175.229996,469.0,2.58,1.494,1,120,150
1987-08-25,336.769989,1989-07-26,338.049988,701.0,1.28,0.38,1,12,150
1989-10-09,359.799988,1990-05-29,360.649994,232.0,0.85,0.23600000000000002,1,5,150
1990-07-16,368.950012,1991-02-13,369.019989,212.0,0.07,0.019,1,25,150
1992-01-15,420.769989,1992-07-29,422.2300110000001,196.0,1.46,0.34700000000000003,1,19,150
1993-03-10,456.329987,1993-08-19,456.429993,162.0,0.1,0.022000000000000002,1,14,150
1994-02-02,482.0,1995-02-14,482.549988,377.0,0.55,0.114,1,246,150
2000-03-24,1527.459961,2007-05-30,1530.22998,2623.0,2.77,0.18100000000000002,1,8,150
