time interval,start year,end year,"start, end month",start price,end price,return (%),annual return (%)
38,1931,1969,10,9.53,92.519997,870.8289296956979,6.16404067710119
38,1931,1969,11,10.5,97.150002,825.2381142857142,6.029746742517017
38,1931,1969,12,9.38,93.220001,893.8166417910446,6.229442361358761
38,1932,1970,1,7.56,93.0,1130.1587301587301,6.827530299189766
38,1932,1970,2,8.23,85.75,941.9198055893073,6.361661514769956
38,1932,1970,3,8.35,89.709999,974.371245508982,6.447542972450471
38,1932,1970,4,7.18,90.07,1154.4568245125347,6.882530999912495
38,1932,1970,5,5.74,81.440002,1318.8153658536587,7.229390895141585
38,1932,1970,6,4.4,77.839996,1669.0908181818181,7.853819505499038
38,1932,1970,7,4.6,72.940002,1485.6522173913045,7.543562645134694
38,1932,1970,8,6.11,77.019997,1160.5564157119477,6.896175013766004
38,1932,1970,9,8.47,80.949997,855.726056670602,6.120246002376439
38,1932,1970,10,8.06,84.32,946.153846153846,6.373013308293296
38,1932,1970,11,6.76,83.510002,1135.3550591715975,6.839380986072219
38,1932,1970,12,6.73,87.470001,1199.702838038633,6.9822397647131496
38,1933,1971,1,6.83,91.150002,1234.5534699853588,7.056762240007397
38,1933,1971,2,6.67,96.41999799999999,1345.5771814092952,7.28213363653003
38,1933,1971,3,5.77,97.0,1581.1091854419412,7.709131554066606
38,1933,1971,4,5.87,100.389999,1610.2214480408857,7.757807402844175
38,1933,1971,5,8.43,103.290001,1125.2669157769872,6.816329459667969
38,1933,1971,6,9.74,100.199997,928.7474024640657,6.326055827308297
38,1933,1971,7,11.62,99.779999,758.6919018932874,5.821683789064136
38,1933,1971,8,10.25,95.959999,836.1951121951219,6.06260091495705
38,1933,1971,9,11.23,99.07,782.1905609973285,5.896893749698573
38,1933,1971,10,9.62,98.93,928.3783783783786,6.325051956273731
38,1933,1971,11,9.12,92.800003,917.5438925438598,6.29542106488461
38,1933,1971,12,9.91,95.440002,863.0676286579213,6.141618303109109
38,1934,1972,1,10.11,101.66999799999999,905.637962413452,6.262503543794429
