,date,close,daily change,daily change pct,high to date,off from high,buy,shares bought,shares owned,cash spend,cash balance,market value,current gain
7183,1956-09-24,46.4,-0.18,-0.39,49.64,-6.53,True,1,437,-46.4,-18868.52,20276.8,1408.28
7184,1956-09-25,45.75,-0.65,-1.4,49.64,-7.84,True,1,438,-45.75,-18914.27,20038.5,1124.23
7185,1956-09-26,45.82,0.07,0.15,49.64,-7.7,True,1,439,-45.82,-18960.09,20114.98,1154.89
7186,1956-09-27,45.6,-0.22,-0.48,49.64,-8.14,True,1,440,-45.6,-19005.69,20064.0,1058.31
7187,1956-09-28,45.35,-0.25,-0.55,49.64,-8.64,True,1,441,-45.35,-19051.04,19999.35,948.31
7188,1956-10-01,44.7,-0.65,-1.43,49.64,-9.95,True,1,442,-44.7,-19095.74,19757.4,661.66
7189,1956-10-02,45.52,0.82,1.83,49.64,-8.3,True,1,443,-45.52,-19141.26,20165.36,1024.1
7190,1956-10-03,46.28,0.76,1.67,49.64,-6.77,True,1,444,-46.28,-19187.54,20548.32,1360.78
7191,1956-10-04,46.29,0.01,0.02,49.64,-6.75,True,1,445,-46.29,-19233.83,20599.05,1365.22
7192,1956-10-05,46.45,0.16,0.35,49.64,-6.43,True,1,446,-46.45,-19280.28,20716.7,1436.42
7193,1956-10-08,46.43,-0.02,-0.04,49.64,-6.47,True,1,447,-46.43,-19326.71,20754.21,1427.5
7194,1956-10-09,46.2,-0.23,-0.5,49.64,-6.93,True,1,448,-46.2,-19372.91,20697.6,1324.69
7195,1956-10-10,46.84,0.64,1.38,49.64,-5.64,True,1,449,-46.84,-19419.75,21031.16,1611.41
7196,1956-10-11,46.81,-0.03,-0.06,49.64,-5.7,True,1,450,-46.81,-19466.56,21064.5,1597.94
7197,1956-10-12,47.0,0.19,0.41,49.64,-5.32,True,1,451,-47.0,-19513.56,21197.0,1683.44
7198,1956-10-15,46.86,-0.14,-0.3,49.64,-5.6,True,1,452,-46.86,-19560.42,21180.72,1620.3
7199,1956-10-16,46.62,-0.24,-0.51,49.64,-6.08,True,1,453,-46.62,-19607.04,21118.86,1511.82
