dip,buy days,buy days (%),return (%)
-18.1,3588,21.82,7.470000000000001
-18.0,3612,21.959999999999997,7.470000000000001
-17.9,3645,22.16,7.470000000000001
-17.8,3681,22.38,7.470000000000001
-17.7,3711,22.56,7.470000000000001
-17.6,3747,22.78,7.470000000000001
-17.5,3781,22.99,7.470000000000001
-17.4,3820,23.23,7.470000000000001
-17.3,3854,23.43,7.46
-17.2,3906,23.75,7.46
-17.1,3954,24.04,7.46
-17.0,4001,24.33,7.46
-16.9,4037,24.55,7.46
-16.8,4072,24.759999999999998,7.46
-16.7,4111,25.0,7.46
-16.6,4150,25.230000000000004,7.46
-16.5,4172,25.369999999999997,7.46
-16.4,4206,25.569999999999997,7.46
-16.3,4233,25.740000000000002,7.46
-16.2,4269,25.96,7.46
-16.1,4302,26.16,7.46
-16.0,4337,26.369999999999997,7.46
-15.9,4375,26.6,7.46
-15.8,4408,26.8,7.46
-15.7,4435,26.97,7.470000000000001
-15.6,4467,27.16,7.46
-15.5,4500,27.36,7.470000000000001
-15.4,4535,27.58,7.470000000000001
-15.3,4580,27.85,7.470000000000001
-15.2,4628,28.139999999999997,7.470000000000001
-15.1,4670,28.4,7.470000000000001
-15.0,4711,28.65,7.470000000000001
-14.9,4754,28.910000000000004,7.470000000000001
-14.8,4790,29.13,7.470000000000001
-14.7,4827,29.349999999999998,7.470000000000001
-14.6,4854,29.509999999999998,7.470000000000001
-14.5,4900,29.79,7.470000000000001
-14.4,4936,30.009999999999998,7.470000000000001
-14.3,4971,30.23,7.470000000000001
-14.2,5006,30.44,7.46
-14.1,5048,30.69,7.46
-14.0,5088,30.94,7.46
-13.9,5121,31.14,7.46
-13.8,5158,31.36,7.449999999999999
-13.7,5197,31.6,7.449999999999999
-13.6,5235,31.830000000000002,7.449999999999999
-13.5,5264,32.01,7.449999999999999
-13.4,5309,32.28,7.449999999999999
-13.3,5341,32.48,7.449999999999999
-13.2,5380,32.71,7.449999999999999
-13.1,5423,32.97,7.449999999999999
-13.0,5455,33.17,7.4399999999999995
-12.9,5489,33.379999999999995,7.4399999999999995
-12.8,5518,33.550000000000004,7.449999999999999
-12.7,5552,33.76,7.4399999999999995
-12.6,5585,33.96,7.4399999999999995
-12.5,5611,34.12,7.4399999999999995
-12.4,5649,34.35,7.4399999999999995
-12.3,5676,34.510000000000005,7.4399999999999995
-12.2,5699,34.65,7.4399999999999995
-12.1,5736,34.88,7.4399999999999995
-12.0,5763,35.04,7.430000000000001
-11.9,5790,35.21,7.430000000000001
-11.8,5817,35.370000000000005,7.430000000000001
-11.7,5852,35.58,7.430000000000001
-11.6,5885,35.78,7.42
-11.5,5920,36.0,7.42
-11.4,5941,36.120000000000005,7.42
-11.3,5961,36.25,7.42
-11.2,5990,36.42,7.41
-11.1,6032,36.68,7.41
-11.0,6063,36.870000000000005,7.41
-10.9,6094,37.05,7.41
-10.8,6116,37.19,7.41
-10.7,6140,37.330000000000005,7.41
-10.6,6174,37.54,7.3999999999999995
-10.5,6219,37.81,7.3999999999999995
-10.4,6254,38.03,7.3999999999999995
-10.3,6291,38.25,7.39
-10.2,6325,38.46,7.39
-10.1,6365,38.7,7.39
-10.0,6400,38.92,7.380000000000001
-9.9,6444,39.18,7.380000000000001
-9.8,6482,39.410000000000004,7.380000000000001
-9.7,6520,39.64,7.37
-9.6,6566,39.92,7.37
-9.5,6606,40.17,7.359999999999999
-9.4,6646,40.410000000000004,7.359999999999999
-9.3,6699,40.73,7.359999999999999
-9.2,6737,40.96,7.35
-9.1,6771,41.17,7.35
-9.0,6798,41.339999999999996,7.35
-8.9,6832,41.54,7.340000000000001
-8.8,6879,41.83,7.340000000000001
-8.7,6926,42.11,7.33
-8.6,6972,42.39,7.33
-8.5,7016,42.66,7.33
-8.4,7066,42.96,7.32
-8.3,7114,43.26,7.32
-8.2,7160,43.54,7.31
-8.1,7203,43.8,7.31
-8.0,7255,44.11,7.3
-7.9,7296,44.36,7.3
-7.8,7339,44.62,7.3
-7.7,7386,44.91,7.290000000000001
-7.6,7430,45.18,7.290000000000001
-7.5,7484,45.51,7.290000000000001
-7.4,7534,45.81,7.28
-7.3,7576,46.07,7.28
-7.2,7618,46.32,7.28
-7.1,7667,46.62,7.2700000000000005
-7.0,7727,46.98,7.2700000000000005
-6.9,7774,47.27,7.2700000000000005
-6.8,7825,47.58,7.26
-6.7,7884,47.94,7.26
-6.6,7954,48.36,7.249999999999999
-6.5,8022,48.78,7.249999999999999
-6.4,8063,49.03,7.24
-6.3,8128,49.419999999999995,7.24
-6.2,8194,49.82,7.23
-6.1,8255,50.19,7.22
-6.0,8302,50.480000000000004,7.22
-5.9,8373,50.91,7.22
-5.8,8439,51.31,7.21
-5.7,8500,51.68000000000001,7.21
-5.6,8552,52.0,7.199999999999999
-5.5,8625,52.44,7.199999999999999
-5.4,8684,52.800000000000004,7.199999999999999
-5.3,8747,53.190000000000005,7.19
-5.2,8820,53.63,7.19
-5.1,8901,54.120000000000005,7.180000000000001
-5.0,8985,54.63,7.17
-4.9,9065,55.120000000000005,7.17
-4.8,9151,55.64,7.16
-4.7,9211,56.010000000000005,7.16
-4.6,9280,56.43,7.16
-4.5,9345,56.82000000000001,7.1499999999999995
-4.4,9430,57.34,7.1499999999999995
-4.3,9524,57.91,7.1499999999999995
-4.2,9605,58.4,7.1499999999999995
-4.1,9696,58.96,7.140000000000001
-4.0,9782,59.48,7.140000000000001
-3.9,9866,59.99,7.13
-3.8,9947,60.480000000000004,7.13
-3.7,10024,60.95,7.13
-3.6,10119,61.529999999999994,7.12
-3.5,10231,62.21,7.12
-3.4,10322,62.760000000000005,7.109999999999999
-3.3,10430,63.42,7.109999999999999
-3.2,10527,64.01,7.109999999999999
-3.1,10645,64.73,7.1
-3.0,10767,65.47,7.1
-2.9,10869,66.09,7.090000000000001
-2.8,10985,66.79,7.090000000000001
-2.7,11086,67.41,7.08
-2.6,11186,68.02,7.08
-2.5,11288,68.64,7.08
-2.4,11401,69.32000000000001,7.07
-2.3,11523,70.07,7.07
-2.2,11637,70.76,7.06
-2.1,11768,71.56,7.06
-2.0,11881,72.24000000000001,7.049999999999999
-1.9,12011,73.03,7.049999999999999
-1.8,12139,73.81,7.04
-1.7,12267,74.59,7.04
-1.6,12426,75.56,7.03
-1.5,12562,76.38000000000001,7.03
-1.4,12699,77.22,7.03
-1.3,12872,78.27,7.02
-1.2,13028,79.22,7.02
-1.1,13180,80.14,7.01
-1.0,13342,81.13,7.01
-0.9,13528,82.26,7.000000000000001
-0.8,13694,83.27,7.000000000000001
-0.7,13857,84.26,6.99
-0.6,14034,85.33,6.99
-0.5,14239,86.58,6.98
-0.4,14430,87.74,6.98
-0.3,14654,89.1,6.97
-0.2,14856,90.33,6.959999999999999
-0.1,15093,91.77,6.959999999999999
0.0,16446,100.0,6.92
